Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
15,C,Gerald Laird,31,37,108,95,11,22,7,1,1,12,1,1,9,19,.232,.302,.358,.660,83,34,3,1,2,1,3,lairdge01
16,UT,Tony Cruz,24,38,72,65,8,17,5,0,0,6,0,1,6,13,.262,.333,.338,.672,88,22,1,1,0,0,1,cruzto03
17,OF,Corey Patterson*,31,44,56,51,5,8,4,0,0,3,0,1,2,12,.157,.189,.235,.424,17,12,1,0,3,0,0,patteco01
18,UT,Mark Hamilton*,26,38,51,47,5,10,3,0,0,4,0,0,4,16,.213,.275,.277,.551,54,13,1,0,0,0,0,hamilma01
19,RF,Andrew Brown,26,11,22,22,1,4,1,0,0,3,0,0,0,8,.182,.182,.227,.409,13,5,1,0,0,0,0,brownan02
20,MI,Pete Kozma,23,16,22,17,2,3,1,0,0,1,0,0,4,4,.176,.333,.235,.569,62,4,0,0,1,0,0,kozmape01
21,3B,Matt Carpenter*,25,7,19,15,0,1,1,0,0,0,0,0,4,4,.067,.263,.133,.396,15,2,0,0,0,0,0,carpema01
22,OF,Shane Robinson,26,9,8,7,0,0,0,0,0,0,0,0,1,2,.000,.125,.000,.125,-61,0,1,0,0,0,0,robinsh01
23,OF,Adron Chambers*,24,18,8,8,2,3,0,1,0,4,0,0,0,1,.375,.375,.625,1.000,172,5,0,0,0,0,0,chambad01
24,P,Chris Carpenter,36,32,82,71,2,11,3,0,0,5,0,0,2,25,.155,.178,.197,.375,4,14,0,0,9,0,0,carpech01
25,P,Kyle Lohse,32,33,70,63,3,11,2,0,0,3,0,0,1,17,.175,.188,.206,.394,10,13,0,0,6,0,0,lohseky01
26,P,Jaime García*,24,30,68,62,3,6,0,0,1,6,0,0,1,18,.097,.111,.145,.256,-29,9,1,0,5,0,0,garcija02
27,P,Jake Westbrook,33,33,60,47,2,5,2,0,1,8,0,0,3,23,.106,.160,.213,.373,3,10,0,0,10,0,0,westbja01
28,P,Kyle McClellan,27,43,41,35,3,5,1,0,0,4,0,0,1,12,.143,.167,.171,.338,-6,6,1,0,5,0,0,mccleky01
29,P,Edwin Jackson,27,13,30,26,2,8,0,0,0,2,0,1,1,8,.308,.321,.308,.629,76,8,0,0,2,1,0,jacksed01
30,P,Lance Lynn,24,16,5,4,0,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,-38,0,0,0,0,0,0,lynnla01
31,P,Brandon Dickson,26,3,3,3,2,2,0,0,0,0,0,0,0,1,.667,.667,.667,1.333,273,2,0,0,0,0,0,dicksbr01
32,P,Mitchell Boggs,27,50,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,boggsmi01
