Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Yadier Molina,23,129,461,417,29,90,26,0,6,49,1,2,26,41,.216,.274,.321,.595,53,134,15,8,8,2,2,molinya01
2,1B,Albert Pujols,26,143,634,535,119,177,33,1,49,137,7,2,92,50,.331,.431,.671,1.102,178,359,20,4,0,3,28,pujolal01
3,2B,Aaron Miles#,29,135,471,426,48,112,20,5,2,30,2,1,38,42,.263,.324,.347,.672,74,148,8,2,2,3,9,milesaa01
4,SS,David Eckstein,31,123,552,500,68,146,18,1,2,23,7,6,31,41,.292,.350,.344,.694,81,172,7,15,3,3,0,eckstda01
5,3B,Scott Rolen,31,142,594,521,94,154,48,1,22,95,7,4,56,69,.296,.369,.518,.887,126,270,10,9,0,8,7,rolensc01
6,LF,So Taguchi,36,134,361,316,46,84,19,1,2,31,11,3,32,48,.266,.335,.351,.686,78,111,9,2,9,2,1,tagucso01
7,CF,Jim Edmonds*,36,110,408,350,52,90,18,0,19,70,4,0,53,101,.257,.350,.471,.822,110,165,11,0,0,5,7,edmonji01
8,RF,Juan Encarnación,30,153,598,557,74,155,25,5,19,79,6,5,30,86,.278,.317,.443,.760,93,247,11,4,1,6,6,encarju01
9,UT,Scott Spiezio#,33,119,321,276,44,75,15,4,13,52,1,0,37,66,.272,.366,.496,.862,120,137,1,5,1,2,1,spiezsc01
10,OF,Chris Duncan*,25,90,314,280,60,82,11,3,22,43,0,0,30,69,.293,.363,.589,.952,140,165,4,2,0,2,0,duncach01
11,2B,Héctor Luna,26,76,245,223,27,65,14,1,4,21,5,3,21,34,.291,.355,.417,.772,99,93,3,1,0,0,1,lunahe01
12,LF,John Rodriguez*,28,102,212,183,31,55,12,3,2,19,0,0,21,45,.301,.374,.432,.806,108,79,9,3,1,4,1,rodrijo03
13,2B,Ronnie Belliard,31,54,211,194,20,46,9,1,5,23,0,3,15,36,.237,.295,.371,.666,71,72,9,1,1,0,2,belliro01
14,C,Gary Bennett,34,60,170,157,13,35,5,0,4,22,0,0,11,30,.223,.274,.331,.605,55,52,3,0,2,0,2,bennega01
15,RF,Preston Wilson,31,33,120,111,18,27,3,0,8,17,6,0,7,27,.243,.300,.486,.786,98,54,2,2,0,0,1,wilsopr01
16,OF,Skip Schumaker*,26,28,60,54,3,10,1,0,1,2,2,1,5,6,.185,.254,.259,.513,33,14,1,0,1,0,1,schumsk01
17,OF,Timo Pérez*,31,23,35,31,3,6,1,0,1,3,0,0,3,4,.194,.286,.323,.608,57,10,0,1,0,0,1,perezti01
18,LF,Larry Bigbie*,28,17,28,25,2,6,1,0,0,1,0,0,3,9,.240,.321,.280,.601,58,7,1,0,0,0,0,bigbila01
19,MI,José Vizcaíno#,38,16,25,23,3,8,3,0,1,3,0,0,1,4,.348,.375,.609,.984,148,14,2,0,1,0,0,vizcajo01
20,UT,John Gall,28,8,12,12,1,3,0,0,0,1,0,0,0,5,.250,.250,.250,.500,30,3,0,0,0,0,0,galljo01
21,C,Mike Rose#,29,10,9,9,0,2,0,0,0,1,0,0,0,4,.222,.222,.222,.444,16,2,0,0,0,0,0,rosemi01
22,IF,John Nelson,27,8,5,5,2,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,nelsojo02
